title,url,date,adults_surveyed,results,agg_results_pct,category,description,statement,leaning,partisan_diff,partisan_leaning,con_support,lab_support,overall_support
Would you support or oppose the construction of a nuclear power station in your local area?,https://yougov.co.uk/topics/consumer/survey-results/daily/2025/02/05/0a04a/3,Conducted 5 February 2025,4875,"{'Strongly support': {'All': 11, 'Con': 14, 'Lab': 10, 'Lib Dem': 11, 'Reform': 20}, 'Somewhat support': {'All': 24, 'Con': 29, 'Lab': 26, 'Lib Dem': 23, 'Reform': 25}, 'Somewhat oppose': {'All': 18, 'Con': 18, 'Lab': 18, 'Lib Dem': 23, 'Reform': 12}, 'Strongly oppose': {'All': 28, 'Con': 23, 'Lab': 28, 'Lib Dem': 27, 'Reform': 25}, ""Don't know"": {'All': 19, 'Con': 16, 'Lab': 18, 'Lib Dem': 16, 'Reform': 17}}","{'All': {'support': 35, 'oppose': 46}, 'Con': {'support': 43, 'oppose': 41}, 'Lab': {'support': 36, 'oppose': 46}, 'Lib Dem': {'support': 34, 'oppose': 50}, 'Reform': {'support': 45, 'oppose': 37}}",Energy,Nuclear power plants,The U.K. SHOULD allow the construction of nuclear power stations in local communities across the country.,Neutral,-7,,43,36,35
Would you support or oppose a ban on new oil and gas developments in Britain's North Sea territory?,https://yougov.co.uk/topics/consumer/survey-results/daily/2025/02/04/01be8/2,Conducted 4 February 2025,4505,"{'Strongly support': {'All': 19, 'Con': 16, 'Lab': 20, 'Lib Dem': 22, 'Reform': 25}, 'Somewhat support': {'All': 20, 'Con': 21, 'Lab': 26, 'Lib Dem': 22, 'Reform': 17}, 'Somewhat oppose': {'All': 16, 'Con': 20, 'Lab': 19, 'Lib Dem': 16, 'Reform': 9}, 'Strongly oppose': {'All': 17, 'Con': 24, 'Lab': 11, 'Lib Dem': 15, 'Reform': 35}, ""Don't know"": {'All': 27, 'Con': 19, 'Lab': 23, 'Lib Dem': 24, 'Reform': 13}}","{'All': {'support': 39, 'oppose': 33}, 'Con': {'support': 37, 'oppose': 44}, 'Lab': {'support': 46, 'oppose': 30}, 'Lib Dem': {'support': 44, 'oppose': 31}, 'Reform': {'support': 42, 'oppose': 44}}",Energy,North Sea oil and gas development,The U.K. SHOULD ban new oil and gas developments in Britain's North Sea territory.,Neutral,9,,37,46,39
Would you support or oppose the NHS providing weight-loss jabs on prescription from high-street pharmacies without needing to see a doctor?,https://yougov.co.uk/topics/health/survey-results/daily/2025/05/02/52c7c/2,Conducted 2 May 2025,4282,"{'Strongly support': {'All': 11, 'Con': 10, 'Lab': 12, 'Lib Dem': 10, 'Reform': 15}, 'Somewhat support': {'All': 26, 'Con': 27, 'Lab': 29, 'Lib Dem': 25, 'Reform': 25}, 'Somewhat oppose': {'All': 24, 'Con': 24, 'Lab': 25, 'Lib Dem': 28, 'Reform': 20}, 'Strongly oppose': {'All': 24, 'Con': 27, 'Lab': 20, 'Lib Dem': 22, 'Reform': 30}, ""Don't know"": {'All': 14, 'Con': 12, 'Lab': 14, 'Lib Dem': 14, 'Reform': 10}}","{'All': {'support': 37, 'oppose': 48}, 'Con': {'support': 37, 'oppose': 51}, 'Lab': {'support': 41, 'oppose': 45}, 'Lib Dem': {'support': 35, 'oppose': 50}, 'Reform': {'support': 40, 'oppose': 50}}",Health,NHS weight-loss medication access,The U.K. SHOULD allow the NHS to provide weight-loss jabs on prescription from high-street pharmacies without requiring patients to see a doctor first.,Neutral,4,,37,41,37
Would you support or oppose the creation of a European army that included the United Kingdom?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/02/17/1e158/1,Conducted 17 February 2025,7300,"{'Strongly support': {'All': 15, 'Con': 14, 'Lab': 20, 'Lib Dem': 19, 'Reform': 8}, 'Somewhat support': {'All': 31, 'Con': 33, 'Lab': 38, 'Lib Dem': 40, 'Reform': 20}, 'Somewhat oppose': {'All': 13, 'Con': 17, 'Lab': 10, 'Lib Dem': 10, 'Reform': 15}, 'Strongly oppose': {'All': 15, 'Con': 18, 'Lab': 7, 'Lib Dem': 6, 'Reform': 39}, ""Don't know"": {'All': 26, 'Con': 18, 'Lab': 26, 'Lib Dem': 25, 'Reform': 19}}","{'All': {'support': 46, 'oppose': 28}, 'Con': {'support': 47, 'oppose': 35}, 'Lab': {'support': 58, 'oppose': 17}, 'Lib Dem': {'support': 59, 'oppose': 16}, 'Reform': {'support': 28, 'oppose': 54}}",Defence,European army including the UK,The U.K. SHOULD participate in the creation of a European army that would include British forces.,Neutral,11,,47,58,46
"From what you have seen and heard, do you support or oppose the government's decision to nationalise British Steel?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/04/14/d57f5/1,Conducted 14 April 2025,7769,"{'Strongly support': {'All': 28, 'Con': 25, 'Lab': 36, 'Lib Dem': 31, 'Reform': 34}, 'Somewhat support': {'All': 33, 'Con': 42, 'Lab': 34, 'Lib Dem': 36, 'Reform': 33}, 'Somewhat oppose': {'All': 6, 'Con': 6, 'Lab': 4, 'Lib Dem': 8, 'Reform': 6}, 'Strongly oppose': {'All': 2, 'Con': 3, 'Lab': 1, 'Lib Dem': 1, 'Reform': 5}, ""Don't know"": {'All': 31, 'Con': 22, 'Lab': 24, 'Lib Dem': 23, 'Reform': 23}}","{'All': {'support': 61, 'oppose': 8}, 'Con': {'support': 67, 'oppose': 9}, 'Lab': {'support': 70, 'oppose': 5}, 'Lib Dem': {'support': 67, 'oppose': 9}, 'Reform': {'support': 67, 'oppose': 11}}",Economy,Nationalisation of British Steel,The U.K. SHOULD nationalise British Steel to protect the industry and its workers.,Neutral,3,,67,70,61
Would you support or oppose giving judges the option of sentencing criminals to house arrest?,https://yougov.co.uk/topics/politics/survey-results/daily/2024/10/23/343f1/1,Conducted 23 October 2024,6011,"{'Strongly support': {'All': 16, 'Con': 15, 'Lab': 20, 'Lib Dem': 17, 'Reform': 15}, 'Somewhat support': {'All': 41, 'Con': 38, 'Lab': 47, 'Lib Dem': 49, 'Reform': 31}, 'Somewhat oppose': {'All': 13, 'Con': 18, 'Lab': 12, 'Lib Dem': 11, 'Reform': 14}, 'Strongly oppose': {'All': 12, 'Con': 16, 'Lab': 7, 'Lib Dem': 6, 'Reform': 25}, ""Don't know"": {'All': 18, 'Con': 14, 'Lab': 15, 'Lib Dem': 16, 'Reform': 15}}","{'All': {'support': 57, 'oppose': 25}, 'Con': {'support': 53, 'oppose': 34}, 'Lab': {'support': 67, 'oppose': 19}, 'Lib Dem': {'support': 66, 'oppose': 17}, 'Reform': {'support': 46, 'oppose': 39}}",Legal,House arrest as a sentencing option,The U.K. SHOULD give judges the option of sentencing criminals to house arrest.,Neutral,14,,53,67,57
Would you support or oppose increasing the NATO defence spending requirement from 2% of GDP to 3% of GDP?,https://yougov.co.uk/topics/international/survey-results/daily/2024/12/18/f55ab/1,Conducted 18 December 2024,7035,"{'Strongly support': {'All': 23, 'Con': 37, 'Lab': 21, 'Lib Dem': 22, 'Reform': 33}, 'Somewhat support': {'All': 27, 'Con': 31, 'Lab': 30, 'Lib Dem': 35, 'Reform': 24}, 'Somewhat oppose': {'All': 12, 'Con': 10, 'Lab': 15, 'Lib Dem': 11, 'Reform': 8}, 'Strongly oppose': {'All': 9, 'Con': 6, 'Lab': 6, 'Lib Dem': 5, 'Reform': 16}, ""Don't know"": {'All': 28, 'Con': 15, 'Lab': 28, 'Lib Dem': 27, 'Reform': 19}}","{'All': {'support': 50, 'oppose': 21}, 'Con': {'support': 68, 'oppose': 16}, 'Lab': {'support': 51, 'oppose': 21}, 'Lib Dem': {'support': 57, 'oppose': 16}, 'Reform': {'support': 57, 'oppose': 24}}",Defence,NATO defence spending requirements,The U.K. SHOULD increase its NATO defence spending commitment from 2% of GDP to 3% of GDP.,Neutral,-17,,68,51,50
Would you support or oppose changing the two-child benefit cap so that parents with children under the age of five are exempt?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/02/27/bca88/2,Conducted 27 February 2025,4938,"{'Strongly support': {'All': 14, 'Con': 7, 'Lab': 19, 'Lib Dem': 17, 'Reform': 9}, 'Somewhat support': {'All': 17, 'Con': 17, 'Lab': 23, 'Lib Dem': 18, 'Reform': 12}, 'Somewhat oppose': {'All': 13, 'Con': 15, 'Lab': 15, 'Lib Dem': 12, 'Reform': 14}, 'Strongly oppose': {'All': 18, 'Con': 27, 'Lab': 12, 'Lib Dem': 14, 'Reform': 28}, ""Don't know"": {'All': 38, 'Con': 33, 'Lab': 32, 'Lib Dem': 38, 'Reform': 36}}","{'All': {'support': 31, 'oppose': 31}, 'Con': {'support': 24, 'oppose': 42}, 'Lab': {'support': 42, 'oppose': 27}, 'Lib Dem': {'support': 35, 'oppose': 26}, 'Reform': {'support': 21, 'oppose': 42}}",Welfare,Two-child benefit cap exemptions,The U.K. SHOULD exempt parents with children under the age of five from the two-child benefit cap.,Neutral,18,,24,42,31
Would you support or oppose banning smoking in pub gardens and outdoor restaurants?,https://yougov.co.uk/topics/health/survey-results/daily/2024/08/29/a8ff1/1,Conducted 29 August 2024,3715,"{'Strongly support': {'All': 35, 'Con': 34, 'Lab': 40, 'Lib Dem': 35, 'Reform': 28}, 'Tend to support': {'All': 23, 'Con': 24, 'Lab': 27, 'Lib Dem': 30, 'Reform': 13}, 'Tend to oppose': {'All': 17, 'Con': 18, 'Lab': 16, 'Lib Dem': 14, 'Reform': 20}, 'Strongly oppose': {'All': 18, 'Con': 18, 'Lab': 11, 'Lib Dem': 14, 'Reform': 34}, 'Don’t know': {'All': 7, 'Con': 6, 'Lab': 6, 'Lib Dem': 6, 'Reform': 5}}","{'All': {'support': 35, 'oppose': 18}, 'Con': {'support': 34, 'oppose': 18}, 'Lab': {'support': 40, 'oppose': 11}, 'Lib Dem': {'support': 35, 'oppose': 14}, 'Reform': {'support': 28, 'oppose': 34}}",Health,Smoking bans in outdoor dining areas,The U.K. SHOULD ban smoking in pub gardens and outdoor restaurants.,Neutral,6,,34,40,35
Do you support or oppose a new law that says all tips must be passed onto employees?,https://yougov.co.uk/topics/economy/survey-results/daily/2024/10/02/db272/2,Conducted 2 October 2024,4153,"{'Strongly support': {'All': 67, 'Con': 69, 'Lab': 74, 'Lib Dem': 73, 'Reform': 73}, 'Tend to support': {'All': 22, 'Con': 24, 'Lab': 21, 'Lib Dem': 19, 'Reform': 18}, 'Tend to oppose': {'All': 2, 'Con': 1, 'Lab': 2, 'Lib Dem': 1, 'Reform': 2}, 'Strongly oppose': {'All': 2, 'Con': 1, 'Lab': 1, 'Lib Dem': 2, 'Reform': 1}, 'Don’t know': {'All': 7, 'Con': 5, 'Lab': 3, 'Lib Dem': 5, 'Reform': 5}}","{'All': {'support': 67, 'oppose': 2}, 'Con': {'support': 69, 'oppose': 1}, 'Lab': {'support': 74, 'oppose': 1}, 'Lib Dem': {'support': 73, 'oppose': 2}, 'Reform': {'support': 73, 'oppose': 1}}",Employment,Mandatory passing of tips to employees,The U.K. SHOULD implement a new law requiring all customer tips to be passed on to employees in full.,Neutral,5,,69,74,67
