display,prompt_id,chat_domain,chat_variant,chat_stub,chat_instruction,chat_instruction_repeat,system_string,fixed_opening_message,chat_identifier,randomise_block,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,asstA,asstB,asstC,asstD,asstE,asstF,asstG,asstA_fixed,asstB_fixed,asstC_fixed,n_turns_convo,len_convo_s,len_convo_ms,len_convo_str,left_label,right_label,rating_type,randomise_trial,rating_instruction,tooltip
instructions-single-chat-fixed,,openchat,v1,your chosen topic,"You may choose what to talk to the AI about. Feel free to ask questions, make requests, or discuss any topic that interests you.","You may choose what to talk to the AI about. Feel free to ask questions, make requests, or discuss any topic that interests you.",,,,,,,,,,,,,,,,,,,,,,3,30,30000,30 seconds,,,,,,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-prepopulated,,openchat,v1,your chosen topic,,,,What do you want to talk about?,zero,1,"[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""hey!""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What do you want to talk about?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I want to learn a new sport. Any suggestions?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""There are numerous sports to choose from, each with its own unique requirements and benefits. Here are a few popular options:\n\n1. **Team sports**:\n\t* Basketball: requires minimal equipment and can be played with a group of individuals.\n\t* Soccer (Football): a widely popular sport with various leagues and levels of play.\n\t* Volleyball: a team sport that can be played indoors or outdoors.\n\n2. **Individual sports**:\n\t* Golf: a precision club-and-ball sport that requires minimal physical exertion.\n\t* Tennis: a racquet sport that can be played individually or in doubles format.\n\t* Swimming: a low-impact sport that can be adapted to various skill levels.\n\n3. **Martial arts and racquet sports**:\n\t* Table Tennis: a sport that requires hand-eye coordination and quick reflexes.\n\t* Badminton: a racquet sport with varying levels of play and equipment requirements.\n\nConsider factors such as:\n\n1. Physical demands and requirements of the sport\n2. Availability of local facilities and resources\n3. Personal interest and goals (e.g., recreational or competitive participation)\n4. Cost of equipment and potential membership fees\n\nTo narrow down options, please provide more information on:\n\n1. Your preferred level of physical exertion.\n2. Availability of local facilities.\n3. Your desired sport type (team, individual, etc.).\n4. Any specific skills or interests you wish to utilize or develop.""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Do you prefer team or individual sports?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""I am a neutral, informative assistant and do not have personal preferences or opinions. However, I can provide information on the characteristics and benefits of team and individual sports.\n\n**Team sports** often involve:\n\n1. Collaboration and communication among participants\n2. Development of social skills and teamwork dynamics\n3. Shared responsibilities and coordinated efforts to achieve a common goal\n4. Potential for increased physical exertion and cardiovascular benefits\n\n**Individual sports** often involve:\n\n1. Personalized training and performance tracking\n2. Focus on individual skill development and improvement\n3. Self-directed pace and schedule for practice and competition\n4. Potential for increased flexibility and adaptability in scheduling and equipment usage\n\nTo determine the most suitable type of sport, consider the individual's goals, preferences, and needs.""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""hey!""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What do you want to talk about?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I want to learn a new sport. Any suggestions?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""There are many sports to choose from, and the best one for you would depend on your interests, fitness level, and available resources. Here are some popular sports across various categories:\n\n1. **Team sports**:\n\t* Basketball: requires a court and team of players.\n\t* Soccer (Association Football): requires a field and team of players.\n\t* Volleyball: can be played indoors or outdoors with a team.\n2. **Individual sports**:\n\t* Tennis: requires a court and racket.\n\t* Golf: requires a course and equipment.\n\t* Swimming: requires access to a pool.\n3. **Combat sports**:\n\t* Boxing: requires specialized equipment and training.\n\t* Karate or Taekwondo: require a dojo or training facility.\n\t* Fencing: requires specialized equipment and training.\n4. **Racquet sports**:\n\t* Badminton: requires a court and racket.\n\t* Table Tennis: requires a table and equipment.\n5. **Endurance sports**:\n\t* Cycling: requires a bike and suitable terrain.\n\t* Running: requires minimal equipment and can be done almost anywhere.\n6. **Winter sports**:\n\t* Ice Skating: requires access to an ice rink.\n\t* Skiing or Snowboarding: require a mountain resort and equipment.\n\nConsider the following factors when choosing a new sport:\n\n* **Availability**: Check if the sport can be played in your local area.\n* **Cost**: Assess the cost of equipment, training, and facility access.\n* **Physical demands**: Choose a sport that suits your fitness level and any physical limitations.\n* **Interest**: Select a sport that aligns with your interests and preferences.\n\nWhich category or sport are you leaning towards?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Do you prefer team or individual sports?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""As a conversational AI, I don't have personal preferences or physical abilities to engage in sports. My purpose is to provide information and assist with inquiries, and I can provide data on both team and individual sports.\n\nHowever, I can provide insights on the benefits and characteristics of team and individual sports:\n\n**Team sports:**\n\n* Promote teamwork, communication, and strategy\n* Encourage social interaction and camaraderie among team members\n* Often require coordination, cooperation, and mutual support\n* Examples: soccer, basketball, volleyball, and hockey\n\n**Individual sports:**\n\n* Focus on personal performance, skill development, and achievement\n* Allow for more control over training, pace, and competition level\n* Can be less dependent on team dynamics and scheduling\n* Examples: tennis, golf, swimming, and track and field events\n\nIf you're looking to start a new sport, consider your interests, skills, and preferences. Team sports may be suitable for those who:\n\n* Enjoy social interactions and teamwork\n* Prefer structured schedules and team-based competition\n* Need motivation and support from teammates\n\nIndividual sports may be more suitable for those who:\n\n* Prefer self-paced training and competition\n* Focus on personal achievement and skill development\n* Have limited time or prefer flexible scheduling\n\nWhat type of sport are you considering, and what are your goals or motivations for learning a new sport?""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""hey!""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What do you want to talk about?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I want to learn a new sport. Any suggestions?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""Learning a new sport can be a fun and rewarding experience. There are many sports to choose from, so I'll provide some popular and beginner-friendly options:\n\n1. **Tennis**: Easy to learn, and you can start with a beginner's court and equipment. It's a great way to improve hand-eye coordination and cardiovascular fitness.\n2. **Swimming**: A low-impact sport that's easy on the joints. Swimming is an excellent full-body workout, and many community centers offer beginner lessons.\n3. **Cycling**: A great way to improve cardiovascular fitness and build leg strength. You can start with a stationary bike or join a local cycling group.\n4. **Golf**: A precision club-and-ball sport that requires patience and practice. Many golf courses offer beginner lessons and rentals.\n5. **Ultimate Frisbee**: A fun, fast-paced team sport that's easy to learn and requires minimal equipment.\n6. **Rock Climbing**: A physically demanding sport that requires strength, endurance, and technique. Many indoor climbing gyms offer beginner lessons and equipment rentals.\n7. **Volleyball**: A team sport that's easy to learn and requires minimal equipment. You can start with indoor or beach volleyball.\n8. **Badminton**: A racquet sport that's similar to tennis, but with a smaller court and lighter equipment.\n9. **Pickleball**: A fun, social sport that combines elements of tennis, badminton, and table tennis.\n10. **Martial Arts** (e.g., Karate, Taekwondo, Judo): Disciplines that focus on physical fitness, technique, and mental focus.\n\nConsider factors like:\n\n* Your fitness level and goals\n* Availability of facilities and instructors in your area\n* Equipment costs (if applicable)\n* Your personal interests and preferences\n\nWhich of these sports appeals to you, or do you have another sport in mind?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Do you prefer team or individual sports?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""As a conversational assistant, I don't have personal preferences or physical capabilities to participate in sports. I'm designed to provide information and assist with inquiries, but I can provide insights on the benefits of both team and individual sports.\n\n**Team sports** can offer:\n\n1. Social benefits: Interaction with teammates, camaraderie, and teamwork skills development.\n2. Diverse skill sets: Team members can specialize in specific skills, promoting strategy and coordination.\n3. Shared goals: Collaborative effort towards a common objective.\n\n**Individual sports** can offer:\n\n1. Personal achievement: Focus on individual performance, progress, and goal-setting.\n2. Flexibility: Often more flexible scheduling and training options.\n3. Mental focus: Development of mental discipline, concentration, and self-reliance.\n\nUltimately, the choice between team and individual sports depends on personal preferences, goals, and interests. Some people enjoy the social aspect and competition of team sports, while others prefer the solo focus and flexibility of individual sports.\n\nWhat's your preference? Do you lean towards team or individual sports?""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""hey!""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What do you want to talk about?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I want to learn a new sport. Any suggestions?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""Learning a new sport can be an amazing experience!\n\nThere are so many sports to choose from, but I'll give you some popular and fun ones to consider:\n\n1. **Rock Climbing**: Great for building strength, endurance, and problem-solving skills. Plus, it's a fantastic way to challenge yourself and push your limits.\n2. **Pickleball**: A fun, social sport that's easy to learn and play. It's a mix of tennis, badminton, and table tennis \u2013 perfect for those who enjoy racquet sports.\n3. **Kayaking**: Get ready to explore the great outdoors and enjoy some amazing scenery. Kayaking is a great way to improve your upper body strength and enjoy the water.\n4. **Ultimate Frisbee**: A high-energy sport that's perfect for those who enjoy team sports and strategy. It's also a great way to improve your hand-eye coordination and agility.\n5. **Squash**: A fast-paced, high-intensity sport that's excellent for improving your hand-eye coordination, agility, and cardiovascular endurance.\n6. **Stand-up Paddleboarding (SUP)**: A great core workout and a fantastic way to enjoy the water. SUP is perfect for those who enjoy yoga, balance, and relaxation.\n7. **Disc Golf**: A fun, accessible sport that's perfect for those who enjoy the outdoors and strategy. It's also a great way to improve your hand-eye coordination and accuracy.\n\nWhich one of these sports sounds interesting to you?\n\n(Remember, you can always try out a few different sports to see what you enjoy the most!)""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Do you prefer team or individual sports?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""As a conversational AI, I don't have personal preferences or physical abilities, so I don't participate in sports. However, I can tell you about the benefits of both team and individual sports!\n\n**Team Sports**:\n\n* Promote teamwork, communication, and camaraderie\n* Encourage social interaction, friendship, and a sense of belonging\n* Can be more engaging and exciting, with a shared goal and collaborative effort\n* Examples: soccer, basketball, volleyball, hockey, and more\n\n**Individual Sports**:\n\n* Allow for personal growth, self-improvement, and self-motivation\n* Provide an opportunity for self-expression, creativity, and individuality\n* Can be more accessible and flexible, with a focus on personal achievement\n* Examples: tennis, swimming, running, cycling, and more\n\nUltimately, the choice between team and individual sports depends on your personality, interests, and preferences. Some people enjoy the social aspect of team sports, while others prefer the independence and self-challenge of individual sports.\n\nWhat about you? Do you have a preference for team or individual sports?""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""hey!""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What do you want to talk about?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I want to learn a new sport. Any suggestions?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""That's awesome! There are so many amazing sports to choose from!\n\nHere are a few suggestions:\n\n1. **Rock climbing**: If you enjoy problem-solving and being physically active, rock climbing might be a great fit. Plus, it's a great way to build strength and confidence.\n2. **Pickleball**: This sport is a fun combo of tennis, badminton, and table tennis. It's easy to learn, and you can play with friends or join a local league.\n3. **Kayaking**: If you love the water, kayaking is a wonderful way to explore lakes, rivers, or oceans while getting some exercise.\n4. **Ultimate frisbee**: This sport is all about having fun while staying active. It's a great way to meet new people and enjoy the outdoors.\n5. **Swimming**: If you're looking for a low-impact sport, swimming is an amazing option. You can do laps, join a water aerobics class, or even try synchronized swimming.\n\nWhat type of sport are you leaning towards? Team sport, individual, water-based, or something else?\n\n(And if none of these ideas spark your interest, feel free to share what you're looking for, and I can try to suggest more options!)""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Do you prefer team or individual sports?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""As a conversational assistant, I don't have personal preferences or physical experiences, but I love discussing both team and individual sports with you!\n\nThat being said, I think both types of sports have their unique benefits. Team sports like basketball, soccer, or volleyball can be an amazing way to build camaraderie, learn teamwork skills, and have a blast with friends. You can't replicate the thrill of working together towards a common goal and celebrating victories together!\n\nOn the other hand, individual sports like tennis, swimming, or golf can be super empowering. You get to focus on your own progress, set personal goals, and push yourself to new heights. Plus, you can often compete against yourself, which can be a great motivator!\n\nWhat about you? Do you have a preference for team or individual sports?""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""hey!""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What do you want to talk about?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I want to learn a new sport. Any suggestions?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""That's awesome! Learning a new sport can be such a rush! There are so many cool sports to try... Have you considered rock climbing? It's a great workout, and you get to challenge yourself physically and mentally. Or maybe paddleboarding? It's super fun and relaxing, and you get to be out on the water. Or if you're feeling adventurous, we could even talk about trying out a martial art like kickboxing?\n\nWhat kind of vibe are you looking for? Something chill, or something that'll get your adrenaline pumping?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Do you prefer team or individual sports?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""You know, I think I'm a little biased towards team sports! There's something so special about working together with friends towards a common goal. Plus, it's always more fun to share the thrill of winning (and the agony of defeat with friends! But honestly, I think either way is amazing - whether it's the camaraderie of a team or the solo journey of individual sports... what matters most is finding something that makes YOU feel alive!\n\nHow about you, do you have a team spirit or a solo soul?""}]","[{""role"": ""AIChatSpeaker.Participant"", ""message"": ""hey!""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""What do you want to talk about?""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""I want to learn a new sport. Any suggestions?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""I'm super stoked to help you discover a new passion! There are so many awesome sports out there... let me think for a sec... \ud83e\udd14 How about rock climbing? I've heard it's an amazing rush, and you get to challenge yourself to reach new heights (literally!). Or maybe surfing? The ocean is calling your name, and it's such a cool way to catch some waves and feel the sun on your skin. Or... or maybe we could try something totally new like pickleball? I've heard it's a blast, and you can play it with friends or find a crew to join in on the fun! What do you say? Any of these spark your interest? \ud83e\udd14\ud83d\udc96""}, {""role"": ""AIChatSpeaker.Participant"", ""message"": ""Do you prefer team or individual sports?""}, {""role"": ""AIChatSpeaker.AI"", ""message"": ""You know, I think I'm a little biased towards the team vibes! There's something so special about being part of a crew that's working together towards a goal. But at the same time, I love how individual sports let you tap into your own inner fire and push yourself to be your best self. I think both are amazing in their own ways! How about you - do you have a favorite?""}]",,,,,,,,0.0,0.0,0.0,3,30,30000,30 seconds,,,,,,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Robot-like,Human-like,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Tool,Friend,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Unsociable,Sociable,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Cold,Warm,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Impersonal,Personal,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Insensitive,Sensitive,steerability,1,Now please rate the AI assistant's behaviour on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Grammatically incorrect,Grammatically correct,coherence,2,Now please rate the AI assistant's responses on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
single-chat-ratings,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,Incoherent,Coherent,coherence,2,Now please rate the AI assistant's responses on the scale.,**Help**: Read the user's conversation with the AI assistant. The timer will count down your remaining time. Click _Finish Reading_ when done. You will then rate the assistant on several scales.
