title,url,date,adults_surveyed,results,agg_results_pct
Would you support or oppose the construction of a nuclear power station in your local area?,https://yougov.co.uk/topics/consumer/survey-results/daily/2025/02/05/0a04a/3,Conducted 5 February 2025,4875,"{'Strongly support': {'All': 11, 'Con': 14, 'Lab': 10, 'Lib Dem': 11, 'Reform': 20}, 'Somewhat support': {'All': 24, 'Con': 29, 'Lab': 26, 'Lib Dem': 23, 'Reform': 25}, 'Somewhat oppose': {'All': 18, 'Con': 18, 'Lab': 18, 'Lib Dem': 23, 'Reform': 12}, 'Strongly oppose': {'All': 28, 'Con': 23, 'Lab': 28, 'Lib Dem': 27, 'Reform': 25}, ""Don't know"": {'All': 19, 'Con': 16, 'Lab': 18, 'Lib Dem': 16, 'Reform': 17}}","{'All': {'support': 35, 'oppose': 46}, 'Con': {'support': 43, 'oppose': 41}, 'Lab': {'support': 36, 'oppose': 46}, 'Lib Dem': {'support': 34, 'oppose': 50}, 'Reform': {'support': 45, 'oppose': 37}}"
"Would you support or oppose a ban on the possession, manufacture, import and sale of ninja swords in the UK?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/03/28/0d73a/1,Conducted 28 March 2025,5920,"{'Strongly support': {'All': 58, 'Con': 71, 'Lab': 61, 'Lib Dem': 65, 'Reform': 63}, 'Somewhat support': {'All': 13, 'Con': 9, 'Lab': 13, 'Lib Dem': 13, 'Reform': 8}, 'Somewhat oppose': {'All': 7, 'Con': 4, 'Lab': 6, 'Lib Dem': 7, 'Reform': 12}, 'Strongly oppose': {'All': 13, 'Con': 14, 'Lab': 12, 'Lib Dem': 9, 'Reform': 12}, 'Don’t know': {'All': 9, 'Con': 3, 'Lab': 7, 'Lib Dem': 5, 'Reform': 6}}","{'All': {'support': 71, 'oppose': 20}, 'Con': {'support': 80, 'oppose': 18}, 'Lab': {'support': 74, 'oppose': 18}, 'Lib Dem': {'support': 78, 'oppose': 16}, 'Reform': {'support': 71, 'oppose': 24}}"
Would you support or oppose allowing Ukraine to build nuclear weapons?,https://yougov.co.uk/topics/international/survey-results/daily/2024/11/14/21ac5/2,Conducted 14 November 2024,5169,"{'Strongly support': {'All': 6, 'Con': 7, 'Lab': 6, 'Lib Dem': 4, 'Reform': 8}, 'Somewhat support': {'All': 12, 'Con': 14, 'Lab': 13, 'Lib Dem': 13, 'Reform': 10}, 'Somewhat oppose': {'All': 24, 'Con': 27, 'Lab': 23, 'Lib Dem': 23, 'Reform': 22}, 'Strongly oppose': {'All': 38, 'Con': 31, 'Lab': 40, 'Lib Dem': 39, 'Reform': 44}, ""Don't know"": {'All': 21, 'Con': 21, 'Lab': 18, 'Lib Dem': 21, 'Reform': 16}}","{'All': {'support': 18, 'oppose': 62}, 'Con': {'support': 21, 'oppose': 58}, 'Lab': {'support': 19, 'oppose': 63}, 'Lib Dem': {'support': 17, 'oppose': 62}, 'Reform': {'support': 18, 'oppose': 66}}"
Would you support or oppose greater cooperation between the UK and the EU on issues of defence and security?,https://yougov.co.uk/topics/international/survey-results/daily/2025/02/03/8ae3f/3,Conducted 3 February 2025,3984,"{'Strongly support': {'All': 42, 'Con': 28, 'Lab': 60, 'Lib Dem': 66, 'Reform': 17}, 'Somewhat support': {'All': 30, 'Con': 40, 'Lab': 25, 'Lib Dem': 24, 'Reform': 34}, 'Somewhat oppose': {'All': 6, 'Con': 8, 'Lab': 2, 'Lib Dem': 2, 'Reform': 16}, 'Strongly oppose': {'All': 6, 'Con': 10, 'Lab': 2, 'Lib Dem': 1, 'Reform': 22}, ""Don't know"": {'All': 16, 'Con': 14, 'Lab': 11, 'Lib Dem': 7, 'Reform': 12}}","{'All': {'support': 72, 'oppose': 12}, 'Con': {'support': 68, 'oppose': 18}, 'Lab': {'support': 85, 'oppose': 4}, 'Lib Dem': {'support': 90, 'oppose': 3}, 'Reform': {'support': 51, 'oppose': 38}}"
Would you support or oppose tax increases on people like you to pay for an increase in defence spending?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/02/17/1e158/2,Conducted 17 February 2025,7300,"{'Strongly support': {'All': 6, 'Con': 7, 'Lab': 7, 'Lib Dem': 9, 'Reform': 7}, 'Somewhat support': {'All': 24, 'Con': 33, 'Lab': 27, 'Lib Dem': 26, 'Reform': 19}, 'Somewhat oppose': {'All': 25, 'Con': 27, 'Lab': 27, 'Lib Dem': 28, 'Reform': 25}, 'Strongly oppose': {'All': 30, 'Con': 22, 'Lab': 24, 'Lib Dem': 22, 'Reform': 39}, ""Don't know"": {'All': 15, 'Con': 11, 'Lab': 15, 'Lib Dem': 16, 'Reform': 11}}","{'All': {'support': 30, 'oppose': 55}, 'Con': {'support': 40, 'oppose': 49}, 'Lab': {'support': 34, 'oppose': 51}, 'Lib Dem': {'support': 35, 'oppose': 50}, 'Reform': {'support': 26, 'oppose': 64}}"
Would you support or oppose J.K. Rowling being given a peerage?,https://yougov.co.uk/topics/entertainment/survey-results/daily/2024/10/17/de3c6/1,Conducted 17 October 2024,5546,"{'Strongly support': {'All': 18, 'Con': 29, 'Lab': 12, 'Lib Dem': 12, 'Reform': 38}, 'Somewhat support': {'All': 23, 'Con': 32, 'Lab': 24, 'Lib Dem': 23, 'Reform': 21}, 'Somewhat oppose': {'All': 11, 'Con': 9, 'Lab': 14, 'Lib Dem': 14, 'Reform': 7}, 'Strongly oppose': {'All': 13, 'Con': 3, 'Lab': 18, 'Lib Dem': 19, 'Reform': 5}, ""Don't know"": {'All': 35, 'Con': 26, 'Lab': 31, 'Lib Dem': 32, 'Reform': 29}}","{'All': {'support': 41, 'oppose': 24}, 'Con': {'support': 61, 'oppose': 12}, 'Lab': {'support': 36, 'oppose': 32}, 'Lib Dem': {'support': 35, 'oppose': 33}, 'Reform': {'support': 59, 'oppose': 12}}"
Would you support or oppose a ban on new oil and gas developments in Britain's North Sea territory?,https://yougov.co.uk/topics/consumer/survey-results/daily/2025/02/04/01be8/2,Conducted 4 February 2025,4505,"{'Strongly support': {'All': 19, 'Con': 16, 'Lab': 20, 'Lib Dem': 22, 'Reform': 25}, 'Somewhat support': {'All': 20, 'Con': 21, 'Lab': 26, 'Lib Dem': 22, 'Reform': 17}, 'Somewhat oppose': {'All': 16, 'Con': 20, 'Lab': 19, 'Lib Dem': 16, 'Reform': 9}, 'Strongly oppose': {'All': 17, 'Con': 24, 'Lab': 11, 'Lib Dem': 15, 'Reform': 35}, ""Don't know"": {'All': 27, 'Con': 19, 'Lab': 23, 'Lib Dem': 24, 'Reform': 13}}","{'All': {'support': 39, 'oppose': 33}, 'Con': {'support': 37, 'oppose': 44}, 'Lab': {'support': 46, 'oppose': 30}, 'Lib Dem': {'support': 44, 'oppose': 31}, 'Reform': {'support': 42, 'oppose': 44}}"
To what extent do you support or oppose the government's commitment to cutting carbon emissions to net zero by 2050?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/03/18/c4b0f/1,Conducted 18 March 2025,5824,"{'Strongly support': {'All': 28, 'Con': 15, 'Lab': 41, 'Lib Dem': 43, 'Reform': 5}, 'Somewhat support': {'All': 33, 'Con': 37, 'Lab': 38, 'Lib Dem': 37, 'Reform': 21}, 'Somewhat oppose': {'All': 12, 'Con': 19, 'Lab': 7, 'Lib Dem': 5, 'Reform': 17}, 'Strongly oppose': {'All': 12, 'Con': 19, 'Lab': 4, 'Lib Dem': 5, 'Reform': 41}, 'Don’t know': {'All': 15, 'Con': 11, 'Lab': 11, 'Lib Dem': 11, 'Reform': 15}}","{'All': {'support': 61, 'oppose': 24}, 'Con': {'support': 52, 'oppose': 38}, 'Lab': {'support': 79, 'oppose': 11}, 'Lib Dem': {'support': 80, 'oppose': 10}, 'Reform': {'support': 26, 'oppose': 58}}"
"Do you support or oppose winter fuel payments to pensioners being means tested, so they only go to those on pension credit or other means-tested benefits?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/05/08/f6d63/1,Conducted 8 May 2025,4670,"{'Strongly support': {'All': 18, 'Con': 14, 'Lab': 26, 'Lib Dem': 18, 'Reform': 15}, 'Tend to support': {'All': 29, 'Con': 26, 'Lab': 34, 'Lib Dem': 37, 'Reform': 23}, 'Tend to oppose': {'All': 17, 'Con': 19, 'Lab': 14, 'Lib Dem': 16, 'Reform': 16}, 'Strongly oppose': {'All': 22, 'Con': 34, 'Lab': 15, 'Lib Dem': 17, 'Reform': 39}, 'Don’t know': {'All': 15, 'Con': 8, 'Lab': 11, 'Lib Dem': 12, 'Reform': 7}}","{'All': {'support': 18, 'oppose': 22}, 'Con': {'support': 14, 'oppose': 34}, 'Lab': {'support': 26, 'oppose': 15}, 'Lib Dem': {'support': 18, 'oppose': 17}, 'Reform': {'support': 15, 'oppose': 39}}"
Would you support or oppose the NHS providing weight-loss jabs on prescription from high-street pharmacies without needing to see a doctor?,https://yougov.co.uk/topics/health/survey-results/daily/2025/05/02/52c7c/2,Conducted 2 May 2025,4282,"{'Strongly support': {'All': 11, 'Con': 10, 'Lab': 12, 'Lib Dem': 10, 'Reform': 15}, 'Somewhat support': {'All': 26, 'Con': 27, 'Lab': 29, 'Lib Dem': 25, 'Reform': 25}, 'Somewhat oppose': {'All': 24, 'Con': 24, 'Lab': 25, 'Lib Dem': 28, 'Reform': 20}, 'Strongly oppose': {'All': 24, 'Con': 27, 'Lab': 20, 'Lib Dem': 22, 'Reform': 30}, ""Don't know"": {'All': 14, 'Con': 12, 'Lab': 14, 'Lib Dem': 14, 'Reform': 10}}","{'All': {'support': 37, 'oppose': 48}, 'Con': {'support': 37, 'oppose': 51}, 'Lab': {'support': 41, 'oppose': 45}, 'Lib Dem': {'support': 35, 'oppose': 50}, 'Reform': {'support': 40, 'oppose': 50}}"
